İlan No,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Takasa Uygun,Kimden,Araç Durumu,Fiyat
40056699,13 Mayıs 2026,Kia,Sportage,1.6 T-GDI Cool Plus,2024,27.500 km,Yarı Otomatik,Hibrit,SUV,Mavi,1598 cc,160 hp,Önden Çekiş,"5,7 lt",54 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,İkinci El,2150000.0
40026462,13 Mayıs 2026,Kia,Sportage,1.6 GSL Plus,2012,160.000 km,Düz,Benzin,SUV,Füme,1591 cc,135 hp,Önden Çekiş,"6,8 lt",58 lt,Belirtilmemiş,Takasa Uygun,Galeriden,İkinci El,1150000.0
40021357,13 Mayıs 2026,Kia,Sorento,2.5 CRDi X-Force Prestige,2008,310.000 km,Otomatik,Dizel,SUV,Siyah,2497 cc,170 hp,4WD (Sürekli),"8,6 lt",80 lt,"2 değişen, 8 boyalı",Takasa Uygun,Galeriden,İkinci El,450000.0
39661116,13 Mayıs 2026,Kia,Stonic,1.4 MPI Cool,2022,68.000 km,Otomatik,Benzin,SUV,Kırmızı,1368 cc,100 hp,Önden Çekiş,"6,2 lt",45 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,1289650.0
39659649,13 Mayıs 2026,Kia,Sportage,1.6 CRDI Prestige Design,2020,193.000 km,Yarı Otomatik,Dizel,SUV,Beyaz,1598 cc,136 hp,4WD (Sürekli),"5,1 lt",62 lt,2 lokal boyalı,Takasa Uygun,Galeriden,İkinci El,1435000.0
39659624,13 Mayıs 2026,Kia,Sportage,1.6 CRDI Cool,2019,141.987 km,Yarı Otomatik,Dizel,SUV,Gri,1598 cc,136 hp,Önden Çekiş,"4,7 lt",62 lt,"1 değişen, 1 boyalı",Takasa Uygun,Galeriden,İkinci El,1319900.0
39631251,13 Mayıs 2026,Kia,Stonic,1.4 MPI Business,2024,60.000 km,Otomatik,Benzin,SUV,Füme,1368 cc,100 hp,Önden Çekiş,"6,2 lt",45 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,1465000.0
39631252,13 Mayıs 2026,Kia,Stonic,1.4 MPI Prestige,2023,23.565 km,Otomatik,Benzin,SUV,Kırmızı,1368 cc,100 hp,Önden Çekiş,"6,2 lt",45 lt,2 boyalı,Takasa Uygun Değil,Yetkili Bayiden,İkinci El,1490000.0
39630658,13 Mayıs 2026,Kia,Sportage,1.6 GSL Plus,2012,155.000 km,Düz,Benzin,SUV,Kahverengi,1591 cc,135 hp,Önden Çekiş,"6,8 lt",58 lt,"1 değişen, 1 boyalı",Takasa Uygun,Galeriden,İkinci El,980000.0
39630644,13 Mayıs 2026,Kia,Sportage,1.6 GDI Concept Plus,2013,199.000 km,Düz,LPG & Benzin,SUV,Turuncu,1591 cc,135 hp,Önden Çekiş,"6,8 lt",58 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,960000.0
39630641,13 Mayıs 2026,Kia,Sportage,1.6 GDI Concept Plus,2015,164.160 km,Otomatik,Benzin,SUV,Gri,1591 cc,135 hp,Önden Çekiş,"8,8 lt",58 lt,"1 değişen, 4 boyalı, 1 lokal boyalı",Takasa Uygun Değil,Galeriden,İkinci El,1079000.0
39630553,13 Mayıs 2026,Kia,Sorento,2.5 CRDi EX,2003,390.000 km,Otomatik,Dizel,SUV,Gri,2497 cc,140 hp,4WD (Sürekli),"8,9 lt",80 lt,"1 değişen, 11 boyalı",Takasa Uygun,Galeriden,İkinci El,390000.0
39630545,13 Mayıs 2026,Kia,Sorento,1.6 T-GDI Prestige,2021,139.353 km,Yarı Otomatik,Hibrit,SUV,Siyah,1598 cc,180 hp,4WD (Sürekli),"6,1 lt",67 lt,1 lokal boyalı,Takasa Uygun,Galeriden,İkinci El,2970000.0
40056394,13 Mayıs 2026,Kia,EV6,Elegance Standart Range,2025,25.000 km,Otomatik,Elektrik,SUV,Siyah,1401 - 1600 cm3,151 - 175 HP,Arkadan İtiş,,,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,2239000.0
39661365,13 Mayıs 2026,Kia,Sportage,1.6 T-GDI Hibrit,2022,87.000 km,Otomatik,Hibrit,SUV,Beyaz,1401 - 1600 cm3,126 - 150 HP,AWD (Elektronik),,,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,2289900.0
39659631,13 Mayıs 2026,Kia,Sportage,1.6 CRDI Elegance,2020,105.000 km,Otomatik,Dizel,SUV,Mavi,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,,,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,1699900.0
39630643,13 Mayıs 2026,Kia,Sportage,1.6 GDI Concept Plus,2017,240.000 km,Otomatik,LPG & Benzin,SUV,Beyaz,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,,,1 değişen,Takasa Uygun,Galeriden,İkinci El,1115000.0
39630635,13 Mayıs 2026,Kia,Sportage,1.6 GDI Concept Plus,2012,220.000 km,Düz,LPG & Benzin,SUV,Beyaz,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,,,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,925000.0
39630543,13 Mayıs 2026,Kia,Sorento,2.5 CRDi Prestige,2008,215.000 km,Otomatik,Dizel,SUV,Siyah,2001 - 2500 cm3,151 - 175 HP,AWD (Elektronik),,,1 boyalı,Takasa Uygun,Galeriden,İkinci El,789900.0
39630210,13 Mayıs 2026,Kia,Sportage,1.6 CRDI Elegance,2021,117.000 km,Otomatik,Dizel,SUV,Beyaz,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,,,1 değişen,Takasa Uygun,Galeriden,İkinci El,1690000.0
34201780,12 Mayıs 2026,Kia,Sportage,1.6 CRDI Elegance Plus,2020,96.000 km,Yarı Otomatik,Dizel,SUV,Beyaz,1598 cc,136 hp,Önden Çekiş,"4,7 lt",62 lt,Tamamı orjinal,Takasa Uygun,Sahibinden,İkinci El,1720000.0
40403989,12 Mayıs 2026,Kia,Sportage,1.6 GSL Plus,2012,167.000 km,Düz,LPG & Benzin,SUV,Turuncu,1591 cc,135 hp,Önden Çekiş,"6,8 lt",58 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,İkinci El,1050000.0
40401851,12 Mayıs 2026,Kia,Sportage,1.6 T-GDI Cool,2025,12.500 km,Yarı Otomatik,Hibrit,SUV,Füme,1598 cc,150 hp,Önden Çekiş,"7,1 lt",54 lt,Tamamı orjinal,Takasa Uygun,Sahibinden,İkinci El,2350000.0
38682926,12 Mayıs 2026,Kia,Sportage,1.6 T-GDI Live Plus,2024,51.000 km,Yarı Otomatik,Hibrit,SUV,Beyaz,1598 cc,160 hp,Önden Çekiş,"5,7 lt",54 lt,Tamamı orjinal,,Sahibinden,İkinci El,2050000.0
40398357,12 Mayıs 2026,Kia,Sorento,2.5 CRDi EX,2006,248.900 km,Otomatik,Dizel,SUV,Siyah,2497 cc,140 hp,4WD (Sürekli),"8,9 lt",80 lt,"8 boyalı, 1 lokal boyalı",-,Sahibinden,İkinci El,500000.0
40398589,12 Mayıs 2026,Kia,Sportage,1.6 GDI Concept Plus,2015,199.756 km,Otomatik,Benzin,SUV,Beyaz,1591 cc,135 hp,Önden Çekiş,"8,8 lt",58 lt,2 boyalı,,Sahibinden,İkinci El,1111500.0
38689994,12 Mayıs 2026,Kia,Sportage,1.6 GDI Concept Plus,2014,140.000 km,Otomatik,Benzin,SUV,Beyaz,1591 cc,135 hp,Önden Çekiş,"8,8 lt",58 lt,"1 değişen, 1 boyalı",Takasa Uygun,Sahibinden,İkinci El,1150000.0
40394645,12 Mayıs 2026,Kia,Sportage,1.6 GDI Concept Plus,2013,97.500 km,Düz,Benzin,SUV,Beyaz,1591 cc,135 hp,Önden Çekiş,"6,8 lt",58 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,İkinci El,1155000.0
40389638,12 Mayıs 2026,Kia,Sorento,2.5 CRDi EX,2004,326.000 km,Otomatik,Dizel,SUV,Siyah,2497 cc,140 hp,4WD (Sürekli),"8,9 lt",80 lt,4 lokal boyalı,,Sahibinden,İkinci El,550000.0
32438827,12 Mayıs 2026,Kia,Sportage,1.6 GDI Comfort,2017,135.000 km,Otomatik,LPG & Benzin,SUV,Gri,1591 cc,132 hp,Önden Çekiş,"7,3 lt",62 lt,Tamamı orjinal,,Sahibinden,İkinci El,1380000.0
40390996,12 Mayıs 2026,Kia,Sportage,1.6 T-GDI Elegance Konfor,2023,42.000 km,Yarı Otomatik,Benzin,SUV,Beyaz,1598 cc,180 hp,Önden Çekiş,"6,9 lt",54 lt,Tamamı orjinal,,Sahibinden,İkinci El,2250000.0
40381174,12 Mayıs 2026,Kia,Stonic,1.4 MPI Cool,2022,44.200 km,Otomatik,Benzin,SUV,Gri,1368 cc,100 hp,Önden Çekiş,"6,2 lt",45 lt,3 boyalı,,Sahibinden,İkinci El,1300000.0
40390085,12 Mayıs 2026,Kia,Sportage,1.6 GDI Comfort,2014,187.262 km,Düz,LPG & Benzin,SUV,Beyaz,1591 cc,135 hp,Önden Çekiş,"6,8 lt",58 lt,"4 boyalı, 1 lokal boyalı",Takasa Uygun,Galeriden,İkinci El,965000.0
40386887,12 Mayıs 2026,Kia,Sportage,1.6 GDI Concept Plus,2013,149.800 km,Düz,Benzin,SUV,Gri,1591 cc,135 hp,Önden Çekiş,"6,8 lt",58 lt,Tamamı orjinal,,Sahibinden,İkinci El,1172000.0
40388329,12 Mayıs 2026,Kia,Stonic,1.4 MPI Cool,2023,57.500 km,Otomatik,Benzin,SUV,Kırmızı,1368 cc,100 hp,Önden Çekiş,"6,2 lt",45 lt,Belirtilmemiş,,Sahibinden,İkinci El,1340000.0
40386556,12 Mayıs 2026,Kia,XCeed,1.6 CRDI 4x2 Prestige Design,2019,153.000 km,Otomatik,Dizel,SUV,Sarı,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,,,1 boyalı,Takasa Uygun Değil,Galeriden,İkinci El,1510000.0
40372580,12 Mayıs 2026,Kia,Stonic,1.0 T-GDI Elegance,2025,6.000 km,Otomatik,Benzin,SUV,Lacivert,,,Önden Çekiş,,,Tamamı orjinal,,Sahibinden,İkinci El,1800000.0
39594208,12 Mayıs 2026,Kia,EV6,Elegance Standart Range,2024,30.000 km,Otomatik,Elektrik,SUV,Siyah,,170 hp,Arkadan İtiş,,,1 değişen,Takasa Uygun,Galeriden,İkinci El,2150000.0
40102172,12 Mayıs 2026,Kia,Sportage,1.6 GDI Comfort,2015,120.000 km,Otomatik,LPG & Benzin,SUV,Beyaz,1591 cc,135 hp,Önden Çekiş,"8,8 lt",58 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,1195000.0
39735019,12 Mayıs 2026,Kia,Sportage,1.6 GDI Concept Plus,2015,130.000 km,Düz,Benzin,SUV,Beyaz,1591 cc,135 hp,Önden Çekiş,"6,8 lt",58 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,1230000.0
39630688,12 Mayıs 2026,Kia,Sportage,2.0 CRDi 4x4 EX,2008,271.000 km,Otomatik,Dizel,SUV,Siyah,1991 cc,140 hp,4WD (Sürekli),"7,1 lt",58 lt,2 boyalı,Takasa Uygun Değil,Galeriden,İkinci El,659000.0
39630561,12 Mayıs 2026,Kia,Sportage,1.6 GDI,2012,80.000 km,Düz,Benzin,SUV,Gri,1591 cc,135 hp,Önden Çekiş,"6,8 lt",58 lt,"1 değişen, 2 boyalı",Takasa Uygun,Galeriden,İkinci El,1085000.0
39607032,12 Mayıs 2026,Kia,Sportage,1.6 CRDI Prestige,2020,98.000 km,Yarı Otomatik,Dizel,SUV,Füme,1598 cc,136 hp,4WD (Sürekli),"5,2 lt",62 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,1835000.0
39597875,12 Mayıs 2026,Kia,Sportage,1.6 GDI Concept Plus,2013,206.000 km,Otomatik,Benzin,SUV,Beyaz,1591 cc,135 hp,Önden Çekiş,"8,8 lt",58 lt,"1 değişen, 1 lokal boyalı",Takasa Uygun,Galeriden,İkinci El,1060000.0
39597873,12 Mayıs 2026,Kia,Sportage,1.6 GDI Concept Plus,2014,156.415 km,Düz,LPG & Benzin,SUV,Beyaz,1591 cc,135 hp,Önden Çekiş,"6,8 lt",58 lt,4 boyalı,Takasa Uygun,Galeriden,İkinci El,1089500.0
39597916,12 Mayıs 2026,Kia,Sportage,1.6 CRDI Prestige,2022,29.250 km,Otomatik,Hibrit,SUV,Siyah,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,,,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,2575000.0
39463768,12 Mayıs 2026,Kia,EV6,Elegance Standart Range,2025,25.000 km,Otomatik,Elektrik,SUV,Gri,1601 - 1800 cm3,151 - 175 HP,Arkadan İtiş,,,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,2285000.0
39101002,12 Mayıs 2026,Kia,Sportage,1.6 CRDI Prestige,2019,125.000 km,Otomatik,Dizel,SUV,Gri,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,,,2 lokal boyalı,Takasa Uygun,Galeriden,İkinci El,1615000.0
39992677,12 Mayıs 2026,Kia,Soul,1.6 CRDi Premium,2015,139.860 km,Otomatik,Dizel,SUV,Gri,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,,,"3 boyalı, 1 lokal boyalı",Takasa Uygun Değil,Galeriden,İkinci El,1085000.0
39625556,12 Mayıs 2026,Kia,Sorento,2.5 CRDi EX Premium,2005,220.000 km,Otomatik,Dizel,SUV,Füme,2001 - 2500 cm3,126 - 150 HP,AWD (Elektronik),,,"2 boyalı, 1 lokal boyalı",Takasa Uygun,Galeriden,İkinci El,620000.0
40373373,11 Mayıs 2026,Kia,Stonic,1.4 MPI Elegance,2020,61.000 km,Otomatik,Benzin,SUV,Mavi,1368 cc,100 hp,Önden Çekiş,"6,2 lt",45 lt,1 boyalı,,Sahibinden,İkinci El,1300000.0
40367358,11 Mayıs 2026,Kia,Sportage,1.6 GDI Concept Plus,2016,263.000 km,Otomatik,Benzin,SUV,Siyah,1591 cc,132 hp,Önden Çekiş,"7,3 lt",62 lt,2 boyalı,,Sahibinden,İkinci El,1240000.0
40366658,11 Mayıs 2026,Kia,Sorento,2.5 CRDi EX Premium,2006,199.000 km,Otomatik,Dizel,SUV,Siyah,2497 cc,170 hp,4WD (Sürekli),"8,6 lt",80 lt,1 lokal boyalı,,Sahibinden,İkinci El,700000.0
40366949,11 Mayıs 2026,Kia,Sportage,1.6 CRDI Prestige,2019,53.000 km,Yarı Otomatik,Dizel,SUV,Füme,1598 cc,136 hp,Önden Çekiş,"4,7 lt",62 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,2020000.0
32547669,11 Mayıs 2026,Kia,Sportage,1.6 GDI Concept Plus,2015,154.700 km,Otomatik,LPG & Benzin,SUV,Turuncu,1591 cc,135 hp,Önden Çekiş,"8,8 lt",58 lt,"1 değişen, 2 boyalı, 1 lokal boyalı",,Sahibinden,İkinci El,1355000.0
40365509,11 Mayıs 2026,Kia,Sportage,1.6 GDI Concept Plus,2014,134.000 km,Otomatik,Benzin,SUV,Gri (metalik),1591 cc,135 hp,Önden Çekiş,"8,8 lt",58 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,1265000.0
40363923,11 Mayıs 2026,Kia,XCeed,1.5 T-GDI Elegance,2025,7.000 km,Otomatik,Benzin,SUV,Siyah,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,,,Belirtilmemiş,Takasa Uygun,Galeriden,İkinci El,2095000.0
40363788,11 Mayıs 2026,Kia,Stonic,1.4 MPI Cool,2024,12.000 km,Otomatik,Benzin,SUV,Gri,1201 - 1400 cm3,76 - 100 HP,Önden Çekiş,,,Belirtilmemiş,Takasa Uygun,Galeriden,İkinci El,1445000.0
39549060,11 Mayıs 2026,Kia,Sportage,1.6 T-GDI Prestige Smart,2022,79.500 km,Otomatik,Hibrit,SUV,Kırmızı,1401 - 1600 cm3,226 - 250 HP,AWD (Elektronik),,,Belirtilmemiş,Takasa Uygun,Galeriden,İkinci El,2650000.0
40361703,11 Mayıs 2026,Kia,Sportage,1.6 GDI Concept Plus,2014,196.500 km,Düz,Benzin,SUV,Beyaz,1591 cc,135 hp,Önden Çekiş,"6,8 lt",58 lt,2 boyalı,Takasa Uygun,Sahibinden,İkinci El,1015000.0
39767788,11 Mayıs 2026,Kia,Sportage,1.6 GDI Concept Plus,2013,180.000 km,Otomatik,LPG & Benzin,SUV,Beyaz,1591 cc,135 hp,Önden Çekiş,"8,8 lt",58 lt,"2 değişen, 2 boyalı",Takasa Uygun,Galeriden,İkinci El,985000.0
40360428,11 Mayıs 2026,Kia,Stonic,1.4 MPI Cool,2023,23.000 km,Otomatik,Benzin,SUV,Gri,,,Önden Çekiş,,,1 lokal boyalı,,Sahibinden,İkinci El,1380000.0
38300855,11 Mayıs 2026,Kia,Stonic,1.4 MPI Business,2022,92.000 km,Otomatik,Benzin,SUV,Kırmızı,1368 cc,100 hp,Önden Çekiş,"6,2 lt",45 lt,Tamamı orjinal,,Sahibinden,İkinci El,1325000.0
40358296,11 Mayıs 2026,Kia,Sportage,2.0 CRDi 4x4,2012,194.000 km,Yarı Otomatik,Dizel,SUV,Beyaz,1995 cc,184 hp,4WD (Sürekli),"7,2 lt",58 lt,4 boyalı,Takasa Uygun,Sahibinden,İkinci El,945000.0
38504261,11 Mayıs 2026,Kia,Stonic,1.25 MPI Cool,2020,49.041 km,Düz,Benzin,SUV,Mavi,1197 cc,84 hp,Önden Çekiş,"5,4 lt",45 lt,Tamamı orjinal,,Sahibinden,İkinci El,1011000.0
40349065,11 Mayıs 2026,Kia,Sorento,2.5 CRDi X-Force EX,2009,265.000 km,Otomatik,Dizel,SUV,Siyah,2497 cc,170 hp,4WD (Sürekli),,,"2 boyalı, 1 lokal boyalı",,Sahibinden,İkinci El,700000.0
40056582,11 Mayıs 2026,Kia,Sportage,1.6 T-GDI GT-Line Prestige,2016,195.000 km,Yarı Otomatik,LPG & Benzin,SUV,Beyaz,1591 cc,177 hp,4WD (Sürekli),"7,5 lt",62 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,1435000.0
39982713,11 Mayıs 2026,Kia,Sportage,1.6 GDI Comfort,2014,52.000 km,Otomatik,Benzin,SUV,Gri,1591 cc,135 hp,Önden Çekiş,"8,8 lt",58 lt,1 değişen,Takasa Uygun,Galeriden,İkinci El,1315000.0
39982708,11 Mayıs 2026,Kia,Sportage,1.6 GDI Comfort,2014,260.000 km,Düz,Benzin,SUV,Beyaz,1591 cc,135 hp,Önden Çekiş,"6,8 lt",58 lt,"2 değişen, 3 boyalı",Takasa Uygun,Galeriden,İkinci El,759500.0
39980402,11 Mayıs 2026,Kia,Sportage,1.6 GSL Plus,2012,174.000 km,Düz,Benzin,SUV,Beyaz,1591 cc,135 hp,Önden Çekiş,"6,8 lt",58 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,998000.0
39975704,11 Mayıs 2026,Kia,Niro,Niro EV Elegance,2023,37.000 km,Otomatik,Elektrik,SUV,Siyah,,204 hp,Önden Çekiş,,,Tamamı orjinal,Takasa Uygun Değil,Galeriden,İkinci El,1675000.0
39975358,11 Mayıs 2026,Kia,XCeed,1.6 CRDI Prestige,2020,97.000 km,Yarı Otomatik,Dizel,SUV,Gri,1598 cc,115 hp,Önden Çekiş,"4,1 lt",50 lt,1 boyalı,Takasa Uygun,Galeriden,İkinci El,1619000.0
39602397,11 Mayıs 2026,Kia,Stonic,1.0 T-GDI Elegance,2024,28.000 km,Yarı Otomatik,Benzin,SUV,Mavi,998 cc,100 hp,Önden Çekiş,"4,8 lt",45 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,1570000.0
39602392,11 Mayıs 2026,Kia,Stonic,1.4 MPI Cool,2024,15.000 km,Otomatik,Benzin,SUV,Füme,1368 cc,100 hp,Önden Çekiş,"6,2 lt",45 lt,1 değişen,Takasa Uygun,Galeriden,İkinci El,1385000.0
39597927,11 Mayıs 2026,Kia,Sportage,1.6 T-GDI GT-Line Exclusive,2016,213.000 km,Yarı Otomatik,Benzin,SUV,Gri,1591 cc,177 hp,4WD (Sürekli),"7,5 lt",62 lt,2 boyalı,Takasa Uygun,Galeriden,İkinci El,1295000.0
39597859,11 Mayıs 2026,Kia,Sportage,1.6 GDI,2012,182.500 km,Düz,Benzin,SUV,Füme,1591 cc,135 hp,Önden Çekiş,"6,8 lt",58 lt,"1 değişen, 7 boyalı",Takasa Uygun,Galeriden,İkinci El,1000000.0
39573299,11 Mayıs 2026,Kia,EV3,GT Line Long,2024,10.000 km,Otomatik,Elektrik,SUV,Turuncu,,204 hp,Önden Çekiş,,,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,2815000.0
39572822,11 Mayıs 2026,Kia,XCeed,1.5 T-GDI Elegance,2025,6.001 km,Yarı Otomatik,Benzin,SUV,Siyah,1482 cc,160 hp,Önden Çekiş,"6,3 lt",50 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,İkinci El,1990000.0
39572147,11 Mayıs 2026,Kia,Sportage,1.6 GSL Plus,2012,143.000 km,Düz,Benzin,SUV,Beyaz,1591 cc,135 hp,Önden Çekiş,"6,8 lt",58 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,İkinci El,1035000.0
39572115,11 Mayıs 2026,Kia,Sportage,1.6 GDI Concept Plus,2013,215.000 km,Otomatik,LPG & Benzin,SUV,Beyaz,1591 cc,135 hp,Önden Çekiş,"8,8 lt",58 lt,1 boyalı,Takasa Uygun,Galeriden,İkinci El,1065000.0
39572105,11 Mayıs 2026,Kia,Sportage,1.6 GDI Concept Plus,2013,206.000 km,Düz,LPG & Benzin,SUV,Füme,1591 cc,135 hp,Önden Çekiş,"6,8 lt",58 lt,6 boyalı,Takasa Uygun,Galeriden,İkinci El,949000.0
39572103,11 Mayıs 2026,Kia,Sportage,1.6 GDI Concept Plus,2014,153.000 km,Otomatik,Benzin,SUV,Beyaz,1591 cc,135 hp,Önden Çekiş,"8,8 lt",58 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,1225000.0
39070543,11 Mayıs 2026,Kia,Stonic,1.0 T-GDI Cool,2023,13.000 km,Yarı Otomatik,Benzin,SUV,Kırmızı,998 cc,100 hp,Önden Çekiş,"4,8 lt",45 lt,"1 değişen, 1 boyalı, 1 lokal boyalı",Takasa Uygun,Galeriden,İkinci El,1375980.0
39016870,11 Mayıs 2026,Kia,XCeed,1.5 T-GDI Elegance,2025,33.000 km,Yarı Otomatik,Benzin,SUV,Beyaz,1482 cc,160 hp,Önden Çekiş,"6,3 lt",50 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,İkinci El,1889000.0
36190112,11 Mayıs 2026,Kia,Sportage,1.6 GDI Cool,2021,102.000 km,Düz,Benzin,SUV,Kırmızı,1591 cc,132 hp,Önden Çekiş,"6,9 lt",62 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,1315000.0
39980066,11 Mayıs 2026,Kia,Sportage,1.6 T-GDI Elegance Konfor,2025,8.500 km,Otomatik,Hibrit,SUV,Siyah,1401 - 1600 cm3,151 - 175 HP,Önden Çekiş,,,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,2549500.0
39980053,11 Mayıs 2026,Kia,Sportage,1.6 T-GDI Elegance Konfor,2023,55.000 km,Otomatik,Benzin,SUV,Füme,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,,,2 değişen,Takasa Uygun Değil,Galeriden,İkinci El,1799000.0
39975833,11 Mayıs 2026,Kia,Sportage,1.6 GDI Premium,2017,59.000 km,Otomatik,Benzin,SUV,Kırmızı,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,,,"1 boyalı, 1 lokal boyalı",Takasa Uygun,Galeriden,İkinci El,1565000.0
39975831,11 Mayıs 2026,Kia,Sportage,1.6 GDI Premium,2017,56.000 km,Otomatik,Benzin,SUV,Gri,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,,,1 değişen,Takasa Uygun Değil,Galeriden,İkinci El,1219000.0
39597907,11 Mayıs 2026,Kia,Sportage,1.6 CRDI Elegance,2020,136.100 km,Otomatik,Dizel,SUV,Gri,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,,,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,1645000.0
39597906,11 Mayıs 2026,Kia,Sportage,1.6 CRDI Prestige,2020,80.000 km,Otomatik,Dizel,SUV,Beyaz,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,,,2 boyalı,Takasa Uygun,Galeriden,İkinci El,1765000.0
39572739,11 Mayıs 2026,Kia,Sportage,1.6 T-GDI Prestige,2025,10.500 km,Otomatik,Benzin,SUV,Yeşil,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,,,Tamamı orjinal,Takasa Uygun,Yetkili Bayiden,İkinci El,3050000.0
39571940,11 Mayıs 2026,Kia,Sorento,2.5 CRDi EX Premium,2007,280.000 km,Otomatik,Dizel,SUV,Füme,2001 - 2500 cm3,151 - 175 HP,AWD (Elektronik),,,"1 değişen, 1 boyalı, 1 lokal boyalı",Takasa Uygun,Galeriden,İkinci El,560000.0
38566363,11 Mayıs 2026,Kia,Stonic,1.4 MPI Cool,2022,34.600 km,Otomatik,Benzin,SUV,Gri,1368 cc,100 hp,Önden Çekiş,"6,2 lt",45 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,1450000.0
32367717,10 Mayıs 2026,Kia,Sportage,1.6 T-GDI GT-Line Exclusive,2016,126.000 km,Yarı Otomatik,LPG & Benzin,SUV,Beyaz,1591 cc,177 hp,4WD (Sürekli),"7,5 lt",62 lt,Tamamı orjinal,,Sahibinden,İkinci El,1550000.0
38264599,10 Mayıs 2026,Kia,Sportage,2.0 TD,2000,165.000 km,Otomatik,Dizel,SUV,Beyaz,,,4WD (Sürekli),,,Belirtilmemiş,,Sahibinden,İkinci El,410000.0
34743978,10 Mayıs 2026,Kia,Sportage,1.6 GDI Concept Plus,2016,75.000 km,Otomatik,Benzin,SUV,Füme,1591 cc,132 hp,Önden Çekiş,"7,3 lt",62 lt,Tamamı orjinal,,Sahibinden,İkinci El,1489000.0
40344553,10 Mayıs 2026,Kia,Sportage,2.0 CRDi 4x4 EX,2005,313.069 km,Otomatik,Dizel,SUV,Gri,1991 cc,112 hp,4WD (Sürekli),8 lt,58 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,İkinci El,580000.0
40344247,10 Mayıs 2026,Kia,Sorento,2.5 CRDi EX Premium,2005,237.000 km,Otomatik,Dizel,SUV,Siyah,2497 cc,140 hp,4WD (Sürekli),"8,9 lt",80 lt,2 değişen,Takasa Uygun,Sahibinden,İkinci El,490000.0
40079207,10 Mayıs 2026,Kia,Sportage,1.6 GDI Concept Plus,2017,185.000 km,Otomatik,Benzin,SUV,Beyaz,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,,,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,1275000.0
40343515,10 Mayıs 2026,Kia,Stonic,1.4 MPI Cool,2021,46.000 km,Otomatik,Benzin,SUV,Gri (Gümüş),1368 cc,100 hp,Önden Çekiş,"6,2 lt",45 lt,1 boyalı,,Sahibinden,İkinci El,1455000.0
