İlan No,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Takasa Uygun,Kimden,Araç Durumu,Fiyat
Kopyalandı35607354,13 Aralık 2025,Skoda,SuperB,1.6 TDI Comfort,2017,207.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1598 cc,120 hp,Önden Çekiş,"4,1 lt",66 lt,4 boyalı,,Sahibinden,İkinci El,1559000.0
Kopyalandı34637604,13 Aralık 2025,Skoda,Octavia,1.6 TDI Optimal,2015,450.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,110 hp,Önden Çekiş,"3,7 lt",50 lt,"1 değişen, 7 boyalı",Takasa Uygun,Galeriden,İkinci El,720000.0
Kopyalandı35775296,13 Aralık 2025,Skoda,Octavia,1.6 TDI Optimal,2015,237.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,110 hp,Önden Çekiş,"3,7 lt",50 lt,"1 değişen, 3 boyalı",,Sahibinden,İkinci El,970000.0
Kopyalandı35554778,13 Aralık 2025,Skoda,Fabia,1.4 Classic,2005,197.000 km,Düz,LPG & Benzin,Hatchback/5,Gri,1390 cc,100 hp,Önden Çekiş,"6,9 lt",45 lt,Belirtilmemiş,,Sahibinden,İkinci El,370000.0
Kopyalandı35774354,13 Aralık 2025,Skoda,Octavia,1.6 TDI Ambiente,2014,285.000 km,Düz,Dizel,Sedan,Kırmızı,,,,,,Belirtilmemiş,,Sahibinden,İkinci El,910000.0
Kopyalandı35773917,13 Aralık 2025,Skoda,SuperB,1.6 TDI Elegance,2012,290.000 km,Düz,Dizel,Sedan,Beyaz,1598 cc,105 hp,Önden Çekiş,5 lt,60 lt,Belirtilmemiş,,Sahibinden,İkinci El,900000.0
Kopyalandı34352535,13 Aralık 2025,Skoda,Octavia,1.6 TDI Style CR,2018,97.098 km,Otomatik,Dizel,Sedan,Beyaz,-,-,Önden Çekiş,,,1 boyalı,Takasa Uygun Değil,Galeriden,İkinci El,1500000.0
Kopyalandı35773607,13 Aralık 2025,Skoda,Octavia,1.6 TDI Style,2018,147.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,115 hp,Önden Çekiş,"3,9 lt",50 lt,"2 değişen, 3 boyalı",,Sahibinden,İkinci El,1200000.0
Kopyalandı35772959,13 Aralık 2025,Skoda,SuperB,1.6 TDI Elegance,2011,296.000 km,Düz,Dizel,Sedan,Siyah,1598 cc,105 hp,Önden Çekiş,5 lt,60 lt,"2 değişen, 8 boyalı",Takasa Uygun,Sahibinden,İkinci El,650000000.0
Kopyalandı33479993,13 Aralık 2025,Skoda,Octavia,1.6 TDI Style CR,2016,207.000 km,Yarı Otomatik,Dizel,Hatchback/5,Siyah,1598 cc,110 hp,Önden Çekiş,"3,7 lt",50 lt,"1 değişen, 2 boyalı",,Sahibinden,İkinci El,1135000.0
Kopyalandı31733296,13 Aralık 2025,Skoda,SuperB,1.6 TDI Comfort,2018,210.000 km,Yarı Otomatik,Dizel,Sedan,Gri (metalik),1598 cc,120 hp,Önden Çekiş,"4,1 lt",66 lt,5 boyalı,Takasa Uygun,Sahibinden,İkinci El,1125000.0
Kopyalandı35761025,13 Aralık 2025,Skoda,Favorit,1.3 LX,1993,350.000 km,Düz,LPG & Benzin,Hatchback/5,Beyaz,1289 cc,57 hp,Önden Çekiş,,,Belirtilmemiş,,Sahibinden,İkinci El,100000.0
Kopyalandı33448648,13 Aralık 2025,Skoda,SuperB,1.6 TDI Prestige,2020,80.000 km,Otomatik,Dizel,Sedan,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,,,2 boyalı,Takasa Uygun,Galeriden,İkinci El,2140000.0
Kopyalandı35758195,13 Aralık 2025,Skoda,Octavia,1.6 Ambiente,2003,322.000 km,Düz,LPG & Benzin,Hatchback/5,Gri (Gümüş),1595 cc,102 hp,Önden Çekiş,"7,1 lt",55 lt,2 boyalı,,Sahibinden,İkinci El,360000.0
Kopyalandı35758522,13 Aralık 2025,Skoda,Rapid,1.6 TDI Spaceback Elegance,2015,207.000 km,Yarı Otomatik,Dizel,Hatchback/5,Kırmızı,1598 cc,90 hp,Önden Çekiş,"4,6 lt",55 lt,Belirtilmemiş,,Sahibinden,İkinci El,865000.0
Kopyalandı35715583,13 Aralık 2025,Skoda,Octavia,1.6 GLX,1999,238.000 km,Düz,LPG & Benzin,Hatchback/5,Kırmızı,1598 cc,100 hp,Önden Çekiş,"7,8 lt",55 lt,Tamamı boyalı,,Sahibinden,İkinci El,382000.0
Kopyalandı32583234,13 Aralık 2025,Skoda,Octavia,1.6 TDI Style,2019,158.000 km,Yarı Otomatik,Dizel,Hatchback/5,Füme,1598 cc,115 hp,Önden Çekiş,"3,9 lt",50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,İkinci El,1375000.0
Kopyalandı32580546,13 Aralık 2025,Skoda,Octavia,1.5 Mhev Premium,2024,6.325 km,Yarı Otomatik,Hibrit,Sedan,Gri,1498 cc,150 hp,Önden Çekiş,"5,3 lt",45 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,İkinci El,2288750.0
Kopyalandı32558734,13 Aralık 2025,Skoda,SuperB,1.6 TDI Prestige,2017,257.000 km,Yarı Otomatik,Dizel,Sedan,Gri,1598 cc,120 hp,Önden Çekiş,"4,1 lt",66 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,1550000.0
Kopyalandı33451140,13 Aralık 2025,Skoda,Octavia,1.6 TDI Optimal,2017,236.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,115 hp,Önden Çekiş,"3,9 lt",50 lt,3 boyalı,,Sahibinden,İkinci El,990000.0
Kopyalandı35780581,13 Aralık 2025,Skoda,Rapid,1.0 TSI GreenTec Dynamic,2017,117.950 km,Yarı Otomatik,Benzin,Hatchback/5,Beyaz,999 cc,95 hp,Önden Çekiş,"4,6 lt",55 lt,7 boyalı,Takasa Uygun Değil,Sahibinden,İkinci El,950000.0
Kopyalandı35779911,13 Aralık 2025,Skoda,Fabia,1.2 TSI Ambition,2016,81.924 km,Yarı Otomatik,Benzin,Hatchback/5,Beyaz,1197 cc,110 hp,Önden Çekiş,"4,7 lt",45 lt,5 boyalı,Takasa Uygun Değil,Galeriden,İkinci El,999900.0
Kopyalandı35689415,13 Aralık 2025,Skoda,Octavia,1.5 e-Tec Premium,2023,160.000 km,Yarı Otomatik,Hibrit,Hatchback/5,Gri,1498 cc,150 hp,Önden Çekiş,"4,7 lt",48 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,1620000.0
Kopyalandı35560802,13 Aralık 2025,Skoda,Scala,1.0 TSI Premium,2022,198.000 km,Yarı Otomatik,Benzin,Hatchback/5,Gri,999 cc,110 hp,Önden Çekiş,"4,8 lt",50 lt,3 boyalı,Takasa Uygun Değil,Galeriden,İkinci El,985000.0
Kopyalandı35287833,13 Aralık 2025,Skoda,SuperB,1.5 TSI Prestige,2024,11.250 km,Otomatik,Benzin,Sedan,Gri,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,,,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,3095000.0
Kopyalandı35287742,13 Aralık 2025,Skoda,Scala,1.6 TDI Premium,2020,149.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,115 hp,Önden Çekiş,"4,1 lt",50 lt,2 değişen,Takasa Uygun,Galeriden,İkinci El,1040000.0
Kopyalandı35287332,13 Aralık 2025,Skoda,Octavia,1.6 Elegance,2009,310.000 km,Düz,LPG & Benzin,Hatchback/5,Siyah,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,,,8 boyalı,Takasa Uygun,Galeriden,İkinci El,485000.0
Kopyalandı35287283,13 Aralık 2025,Skoda,SuperB,1.6 TDI Elegance,2015,133.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1598 cc,105 hp,Önden Çekiş,"4,6 lt",60 lt,"1 değişen, 2 boyalı",Takasa Uygun,Galeriden,İkinci El,1198000.0
Kopyalandı35287184,13 Aralık 2025,Skoda,Octavia,1.6 TDI Optimal,2017,153.000 km,Otomatik,Dizel,Hatchback/5,Beyaz,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,,,2 boyalı,Takasa Uygun,Galeriden,İkinci El,1160000.0
Kopyalandı35257514,13 Aralık 2025,Skoda,SuperB,1.6 TDI Comfort,2017,160.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1598 cc,120 hp,Önden Çekiş,"4,1 lt",66 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,İkinci El,1515000.0
Kopyalandı35257302,13 Aralık 2025,Skoda,SuperB,1.6 TDI Style,2017,225.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1598 cc,120 hp,Önden Çekiş,"4,1 lt",66 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,1550000.0
Kopyalandı35257175,13 Aralık 2025,Skoda,Octavia,1.0 e-Tec Elite,2022,65.000 km,Yarı Otomatik,Hibrit,Hatchback/5,Gri,999 cc,110 hp,Önden Çekiş,"4,3 lt",48 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,1585000.0
Kopyalandı35257173,13 Aralık 2025,Skoda,Octavia,1.0 e-Tec Premium,2022,97.051 km,Yarı Otomatik,Benzin,Hatchback/5,Gri,999 cc,110 hp,Önden Çekiş,"4,3 lt",48 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,1545000.0
Kopyalandı35257172,13 Aralık 2025,Skoda,Octavia,1.0 e-Tec Elite,2023,64.000 km,Yarı Otomatik,Hibrit,Hatchback/5,Gri,999 cc,110 hp,Önden Çekiş,"4,3 lt",48 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,1610000.0
Kopyalandı35256910,13 Aralık 2025,Skoda,SuperB,1.6 TDI Premium,2020,289.660 km,Yarı Otomatik,Dizel,Sedan,Mavi,1598 cc,120 hp,Önden Çekiş,"4,2 lt",66 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,İkinci El,1580000.0
Kopyalandı35256898,13 Aralık 2025,Skoda,SuperB,1.5 TSI Prestige,2022,89.000 km,Yarı Otomatik,Benzin,Sedan,Lacivert,1498 cc,150 hp,Önden Çekiş,"5,4 lt",66 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,2389750.0
Kopyalandı35256895,13 Aralık 2025,Skoda,SuperB,1.5 TSI Prestige,2023,69.500 km,Yarı Otomatik,Benzin,Sedan,Gri,1498 cc,150 hp,Önden Çekiş,"5,4 lt",66 lt,"1 değişen, 3 boyalı",Takasa Uygun Değil,Galeriden,İkinci El,2245900.0
Kopyalandı35256892,13 Aralık 2025,Skoda,SuperB,1.5 TSI Elite,2022,78.000 km,Yarı Otomatik,Benzin,Sedan,Gri,1498 cc,150 hp,Önden Çekiş,"5,4 lt",66 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,2135000.0
Kopyalandı35256890,13 Aralık 2025,Skoda,SuperB,1.5 TSI Prestige,2023,30.660 km,Yarı Otomatik,Benzin,Sedan,Gri,1498 cc,150 hp,Önden Çekiş,"5,4 lt",66 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,2765000.0
Kopyalandı34757148,13 Aralık 2025,Skoda,Fabia,1.2 TSI Style,2016,139.000 km,Yarı Otomatik,Benzin,Hatchback/5,Kırmızı,1197 cc,110 hp,Önden Çekiş,"4,7 lt",45 lt,6 boyalı,Takasa Uygun,Galeriden,İkinci El,775000.0
Kopyalandı34755753,13 Aralık 2025,Skoda,Rapid,1.6 TDI Elegance,2013,165.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1598 cc,90 hp,Önden Çekiş,"4,5 lt",55 lt,"1 değişen, 1 boyalı",Takasa Uygun,Galeriden,İkinci El,860000.0
Kopyalandı34755606,13 Aralık 2025,Skoda,SuperB,1.6 TDI Elite,2020,121.000 km,Yarı Otomatik,Dizel,Sedan,Gri,1598 cc,120 hp,Önden Çekiş,"4,2 lt",66 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,2025000.0
Kopyalandı34755369,13 Aralık 2025,Skoda,Octavia,1.6 TDI Style,2019,213.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,115 hp,Önden Çekiş,"3,9 lt",50 lt,"1 değişen, 1 boyalı",Takasa Uygun Değil,Galeriden,İkinci El,1160000.0
Kopyalandı34676220,13 Aralık 2025,Skoda,Octavia,1.0 e-Tec Elite,2023,136.400 km,Yarı Otomatik,Hibrit,Hatchback/5,Füme,999 cc,110 hp,Önden Çekiş,"4,3 lt",48 lt,1 boyalı,Takasa Uygun,Galeriden,İkinci El,1450000.0
Kopyalandı34171138,13 Aralık 2025,Skoda,SuperB,1.5 TSI Sportline,2021,210.000 km,Yarı Otomatik,Benzin,Sedan,Lacivert,1498 cc,150 hp,Önden Çekiş,"5,4 lt",66 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,İkinci El,1995000.0
Kopyalandı34131102,13 Aralık 2025,Skoda,Scala,1.0 TSI Elite,2021,95.000 km,Otomatik,Benzin,Hatchback/5,Mavi,1200 cm3' e kadar,101 - 125 HP,Önden Çekiş,,,1 boyalı,Takasa Uygun,Galeriden,İkinci El,1175000.0
Kopyalandı34130770,13 Aralık 2025,Skoda,SuperB,1.6 TDI Comfort,2012,317.600 km,Düz,Dizel,Sedan,Beyaz,1598 cc,105 hp,Önden Çekiş,5 lt,60 lt,"4 değişen, 3 boyalı",Takasa Uygun,Galeriden,İkinci El,610000.0
Kopyalandı34093973,13 Aralık 2025,Skoda,Scala,1.0 TSI Premium,2021,158.000 km,Otomatik,Benzin,Hatchback/5,Beyaz,1200 cm3' e kadar,101 - 125 HP,Önden Çekiş,,,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,1210000.0
Kopyalandı33979544,13 Aralık 2025,Skoda,Octavia,1.0 e-Tec Elite,2021,199.000 km,Yarı Otomatik,Hibrit,Hatchback/5,Gri,999 cc,110 hp,Önden Çekiş,"4,3 lt",48 lt,2 boyalı,Takasa Uygun,Galeriden,İkinci El,1320000.0
Kopyalandı33947744,13 Aralık 2025,Skoda,SuperB,1.5 TSI Prestige,2024,43.750 km,Otomatik,Benzin,Sedan,Siyah,1401 - 1600 cm3,126 - 150 HP,Önden Çekiş,,,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,3270000.0
Kopyalandı33601577,13 Aralık 2025,Skoda,Scala,1.0 TSI Premium,2023,62.322 km,Yarı Otomatik,Benzin,Hatchback/5,Gri,999 cc,110 hp,Önden Çekiş,"4,8 lt",50 lt,3 boyalı,Takasa Uygun,Galeriden,İkinci El,1117500.0
Kopyalandı33562314,13 Aralık 2025,Skoda,Scala,1.0 TSI Premium,2022,159.000 km,Yarı Otomatik,Benzin,Hatchback/5,Gri,999 cc,110 hp,Önden Çekiş,"4,8 lt",50 lt,5 boyalı,Takasa Uygun,Galeriden,İkinci El,1049950.0
Kopyalandı33032331,13 Aralık 2025,Skoda,SuperB,1.5 TSI Prestige,2021,129.000 km,Yarı Otomatik,Benzin,Sedan,Siyah,1498 cc,150 hp,Önden Çekiş,"5,4 lt",66 lt,8 boyalı,Takasa Uygun,Galeriden,İkinci El,1875000.0
Kopyalandı32955474,13 Aralık 2025,Skoda,Octavia,1.6 TDI Ambition,2012,268.000 km,Düz,Dizel,Hatchback/5,Siyah,1598 cc,105 hp,Önden Çekiş,"4,5 lt",55 lt,3 boyalı,Takasa Uygun,Galeriden,İkinci El,635000.0
Kopyalandı32538131,13 Aralık 2025,Skoda,Fabia,1.0 GreenTec Style,2018,50.000 km,Yarı Otomatik,Benzin,Hatchback/5,Beyaz,999 cc,110 hp,Önden Çekiş,"4,6 lt",45 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,1169000.0
Kopyalandı32272364,13 Aralık 2025,Skoda,Rapid,1.4 TDI Spaceback Style,2016,180.000 km,Otomatik,Dizel,Hatchback/5,Beyaz,1401 - 1600 cm3,76 - 100 HP,Önden Çekiş,,,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,975000.0
Kopyalandı30538796,13 Aralık 2025,Skoda,Scala,1.0 TSI Premium,2023,61.000 km,Yarı Otomatik,Benzin,Hatchback/5,Gri,999 cc,110 hp,Önden Çekiş,"4,8 lt",50 lt,7 boyalı,Takasa Uygun,Galeriden,İkinci El,1299000.0
Kopyalandı29684609,13 Aralık 2025,Skoda,SuperB,2.0 TDI Laurin&Klement,2021,83.500 km,Otomatik,Dizel,Sedan,Siyah,1801 - 2000 cm3,176 - 200 HP,4WD (Sürekli),,,1 değişen,Takasa Uygun,Galeriden,İkinci El,3325000.0
Kopyalandı29399516,13 Aralık 2025,Skoda,Octavia,2.0 TSI RS,2016,115.000 km,Otomatik,Benzin,Hatchback/5,Gri,1801 - 2000 cm3,226 - 250 HP,Önden Çekiş,,,4 boyalı,Takasa Uygun,Galeriden,İkinci El,1895000.0
Kopyalandı29336201,13 Aralık 2025,Skoda,Octavia,1.6 TDI Style CR,2015,228.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,110 hp,Önden Çekiş,"3,7 lt",50 lt,8 boyalı,Takasa Uygun Değil,Galeriden,İkinci El,799900.0
Kopyalandı30324332,12 Aralık 2025,Skoda,Fabia,1.2 Classic,2006,314.000 km,Düz,LPG & Benzin,Hatchback/5,Gri (Gümüş),1198 cc,64 hp,Önden Çekiş,6 lt,45 lt,"1 değişen, 9 boyalı",,Sahibinden,İkinci El,345000.0
Kopyalandı35775439,12 Aralık 2025,Skoda,Fabia,1.4 Comfort,2001,255.000 km,Düz,LPG & Benzin,Hatchback/5,Sarı,1390 cc,100 hp,Önden Çekiş,"6,9 lt",45 lt,"1 değişen, 6 boyalı",Takasa Uygun Değil,Sahibinden,İkinci El,322000.0
Kopyalandı30190362,12 Aralık 2025,Skoda,Fabia,1.4 Classic,2005,195.000 km,Düz,LPG & Benzin,Hatchback/5,Gri,1390 cc,100 hp,Önden Çekiş,"6,9 lt",45 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,İkinci El,370000.0
Kopyalandı35774717,12 Aralık 2025,Skoda,SuperB,1.6 TDI Style,2017,82.000 km,Yarı Otomatik,Dizel,Sedan,Füme,1598 cc,120 hp,Önden Çekiş,"4,1 lt",66 lt,"1 değişen, 3 boyalı",Takasa Uygun,Galeriden,İkinci El,1725000.0
Kopyalandı35773849,12 Aralık 2025,Skoda,SuperB,1.6 TDI Comfort,2018,169.863 km,Yarı Otomatik,Dizel,Sedan,Gri (Gümüş),1598 cc,120 hp,Önden Çekiş,"4,1 lt",66 lt,2 boyalı,Takasa Uygun Değil,Sahibinden,İkinci El,1500000.0
Kopyalandı35772452,12 Aralık 2025,Skoda,Octavia,1.6 TDI Style,2017,84.500 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,115 hp,Önden Çekiş,"3,9 lt",50 lt,1 boyalı,Takasa Uygun Değil,Sahibinden,İkinci El,1410000.0
Kopyalandı35772025,12 Aralık 2025,Skoda,Octavia,1.6 Collection Plus,2003,282.000 km,Düz,LPG & Benzin,Hatchback/5,Yeşil (metalik),1595 cc,102 hp,Önden Çekiş,"7,1 lt",55 lt,4 boyalı,Takasa Uygun,Galeriden,İkinci El,535000.0
Kopyalandı30527654,12 Aralık 2025,Skoda,Fabia,1.2 Classic,2004,250.000 km,Düz,LPG & Benzin,Hatchback/5,Mavi,1198 cc,64 hp,Önden Çekiş,6 lt,45 lt,4 boyalı,,Sahibinden,İkinci El,305000.0
Kopyalandı35772426,12 Aralık 2025,Skoda,Octavia,1.6 TDI Style,2017,148.563 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,110 hp,Önden Çekiş,"3,7 lt",50 lt,1 boyalı,Takasa Uygun Değil,Galeriden,İkinci El,1430000.0
Kopyalandı35769303,12 Aralık 2025,Skoda,Felicia,1.3 LX,1996,288.000 km,Düz,LPG & Benzin,Hatchback/5,Beyaz,1289 cc,55 hp,Önden Çekiş,7 lt,42 lt,1 değişen,Takasa Uygun Değil,Sahibinden,İkinci El,210000.0
Kopyalandı35760365,12 Aralık 2025,Skoda,Octavia,1.0 e-Tec Elite,2022,71.000 km,Yarı Otomatik,Hibrit,Hatchback/5,Siyah,999 cc,110 hp,Önden Çekiş,"4,3 lt",48 lt,Tamamı orjinal,-,Sahibinden,İkinci El,1650000.0
Kopyalandı35763071,12 Aralık 2025,Skoda,SuperB,1.6 TDI Prestige,2014,215.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1598 cc,105 hp,Önden Çekiş,"4,6 lt",60 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,İkinci El,1230000.0
Kopyalandı35755467,12 Aralık 2025,Skoda,Rapid,1.4 TDI GreenTec Ambition,2016,170.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1422 cc,90 hp,Önden Çekiş,"3,8 lt",55 lt,3 boyalı,,Sahibinden,İkinci El,955000.0
Kopyalandı35755291,12 Aralık 2025,Skoda,Fabia,1.2 TSI Style,2015,126.000 km,Yarı Otomatik,Benzin,Hatchback/5,Kırmızı,1197 cc,110 hp,Önden Çekiş,"4,7 lt",45 lt,11 boyalı,,Sahibinden,İkinci El,810000.0
Kopyalandı35755192,12 Aralık 2025,Skoda,Octavia,1.6 FSI Elegance,2009,194.000 km,Düz,LPG & Benzin,Station wagon,Siyah,1598 cc,116 hp,Önden Çekiş,"6,6 lt",55 lt,2 değişen,,Sahibinden,İkinci El,600000.0
Kopyalandı35754611,12 Aralık 2025,Skoda,Octavia,1.6 TDI Optimal,2018,210.000 km,Yarı Otomatik,Dizel,Hatchback/5,Füme,1598 cc,115 hp,Önden Çekiş,"3,9 lt",50 lt,Tamamı orjinal,,Sahibinden,İkinci El,1185000.0
Kopyalandı35754381,12 Aralık 2025,Skoda,Octavia,1.6 TDI Optimal,2018,245.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,115 hp,Önden Çekiş,"3,9 lt",50 lt,4 boyalı,,Sahibinden,İkinci El,1095000.0
Kopyalandı35753481,12 Aralık 2025,Skoda,Octavia,1.2 TSI Ambition,2014,229.000 km,Düz,Benzin,Hatchback/5,Beyaz,1197 cc,105 hp,Önden Çekiş,"4,9 lt",50 lt,Belirtilmemiş,,Sahibinden,İkinci El,749000.0
Kopyalandı35753145,12 Aralık 2025,Skoda,SuperB,1.5 TSI Elite,2021,91.000 km,Yarı Otomatik,Benzin,Sedan,Gri (Gümüş),1498 cc,150 hp,Önden Çekiş,"5,4 lt",66 lt,Belirtilmemiş,,Sahibinden,İkinci El,1900000.0
Kopyalandı35752736,12 Aralık 2025,Skoda,Rapid,1.2 Spaceback Ambition,2014,295.000 km,Düz,Benzin,Hatchback/5,Beyaz,1198 cc,75 hp,Önden Çekiş,"5,8 lt",55 lt,4 boyalı,,Sahibinden,İkinci El,525000.0
Kopyalandı35752380,12 Aralık 2025,Skoda,Rapid,1.4 TDI Style,2017,216.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1422 cc,90 hp,Önden Çekiş,4 lt,55 lt,1 boyalı,,Sahibinden,İkinci El,910000.0
Kopyalandı35751521,12 Aralık 2025,Skoda,Fabia,1.4 Special,2004,292.000 km,Düz,LPG & Benzin,Sedan,Altın,1390 cc,100 hp,Önden Çekiş,"7,1 lt",45 lt,6 boyalı,,Sahibinden,İkinci El,320000.0
Kopyalandı35740417,12 Aralık 2025,Skoda,Octavia,1.6 TDI Elegance CR,2012,285.000 km,Otomatik,Dizel,Sedan,Füme,,,,,,"1 değişen, 5 boyalı",,Sahibinden,İkinci El,750000.0
Kopyalandı35749364,12 Aralık 2025,Skoda,SuperB,1.6 TDI Style,2017,148.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1598 cc,120 hp,Önden Çekiş,"4,1 lt",66 lt,1 değişen,,Sahibinden,İkinci El,1480000.0
Kopyalandı35749328,12 Aralık 2025,Skoda,Octavia,1.6 TDI Ambition,2014,242.000 km,Yarı Otomatik,Dizel,Hatchback/5,Gri,1598 cc,105 hp,Önden Çekiş,"3,9 lt",50 lt,3 boyalı,,Sahibinden,İkinci El,930000.0
Kopyalandı35749192,12 Aralık 2025,Skoda,SuperB,1.6 TDI Style,2015,190.000 km,Yarı Otomatik,Dizel,Sedan,Kahverengi,1598 cc,120 hp,Önden Çekiş,"4,1 lt",66 lt,Tamamı orjinal,,Sahibinden,İkinci El,1310000.0
Kopyalandı35749252,12 Aralık 2025,Skoda,Octavia,1.6 TDI Elegance CR,2013,265.000 km,Yarı Otomatik,Dizel,Hatchback/5,Gri (titanyum),1598 cc,105 hp,Önden Çekiş,"3,9 lt",50 lt,Belirtilmemiş,,Sahibinden,İkinci El,980000.0
Kopyalandı35749224,12 Aralık 2025,Skoda,Scala,1.0 TSI Comfort,2022,13.300 km,Yarı Otomatik,Benzin,Hatchback/5,Mavi,999 cc,110 hp,Önden Çekiş,"4,8 lt",50 lt,Tamamı orjinal,,Sahibinden,İkinci El,1420000.0
Kopyalandı35736685,12 Aralık 2025,Skoda,SuperB,1.6 TDI Ambition,2014,210.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1598 cc,105 hp,Önden Çekiş,"4,6 lt",60 lt,6 boyalı,,Sahibinden,İkinci El,750000.0
Kopyalandı34650387,12 Aralık 2025,Skoda,Felicia,1.6 GLXi,2001,225.000 km,Düz,LPG & Benzin,Hatchback/5,Kırmızı,1598 cc,75 hp,Önden Çekiş,"7,3 lt",42 lt,Tamamı orjinal,Takasa Uygun,Galeriden,İkinci El,239000.0
Kopyalandı35747911,12 Aralık 2025,Skoda,Octavia,1.6 TDI Optimal,2016,215.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,110 hp,Önden Çekiş,"3,7 lt",50 lt,"1 değişen, 5 boyalı",Takasa Uygun Değil,Sahibinden,İkinci El,910000.0
Kopyalandı35757341,12 Aralık 2025,Skoda,Octavia,1.0 e-Tec Premium,2021,81.480 km,Yarı Otomatik,Hibrit,Hatchback/5,Gri (Gümüş),999 cc,110 hp,Önden Çekiş,"4,3 lt",48 lt,1 boyalı,Takasa Uygun,Galeriden,İkinci El,1569000.0
Kopyalandı35746843,12 Aralık 2025,Skoda,Fabia,1.4 TDI Ambiente,2006,272.000 km,Düz,Dizel,Sedan,Gri (Gümüş),1422 cc,75 hp,Önden Çekiş,"4,5 lt",45 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,İkinci El,350000.0
Kopyalandı35746529,12 Aralık 2025,Skoda,Rapid,1.2 TSI GreenTec Style,2015,160.000 km,Yarı Otomatik,Benzin,Hatchback/5,Kırmızı,1197 cc,90 hp,Önden Çekiş,"4,7 lt",55 lt,2 boyalı,,Sahibinden,İkinci El,709000.0
Kopyalandı30621115,12 Aralık 2025,Skoda,SuperB,1.6 TDI Prestige,2018,82.000 km,Yarı Otomatik,Dizel,Sedan,Gri (Gümüş),1598 cc,120 hp,Önden Çekiş,"4,1 lt",66 lt,Tamamı orjinal,,Sahibinden,İkinci El,2250000.0
Kopyalandı35744720,12 Aralık 2025,Skoda,SuperB,1.4 TSI Comfort,2011,123.000 km,Düz,Benzin,Sedan,Gri (titanyum),1390 cc,125 hp,Önden Çekiş,"6,8 lt",60 lt,1 boyalı,Takasa Uygun,Sahibinden,İkinci El,965000.0
